Epoch	Time(sec)	Loss_dev	Loss_train	R2_dev	R2_train
1	5.933543082996039	1151.1260786056519	1578.270013332367	-0.6696010828018188	-0.6493518352508545
2	11.568153375003021	170.8948245048523	577.8114936351776	-1.1924147605895996	-1.345905065536499
3	17.233434916008264	120.89346814155579	425.72020852565765	-2.1898910999298096	-2.428718328475952
4	22.89399283300736	91.01050472259521	371.3890823125839	-2.7780075073242188	-2.8784048557281494
5	28.588130082993302	82.38595980405807	349.1893675327301	-3.2401833534240723	-3.292786121368408
6	34.46876250000787	81.46507096290588	336.5840108990669	-2.8294382095336914	-2.6733179092407227
7	40.27583191599115	78.39455223083496	326.8941064476967	-2.934985637664795	-2.7018840312957764
8	45.96192195799085	75.21404027938843	315.85227143764496	-2.600781202316284	-2.2888593673706055
9	51.685057249997044	72.91978719085455	311.98978501558304	-2.5762078762054443	-2.2852139472961426
10	57.858506457996555	70.89191973209381	307.47189688682556	-2.1274306774139404	-1.7859716415405273
11	63.830021457979456	69.7951750010252	298.99324214458466	-2.189333200454712	-1.9208338260650635
12	69.50264208298177	69.20065867900848	301.5285965204239	-2.0883052349090576	-1.8181164264678955
13	75.1367596659984	65.6990607380867	295.6146112680435	-2.114722967147827	-1.898125410079956
14	80.72827662498457	68.52132761478424	287.8783563375473	-1.7350080013275146	-1.5440504550933838
15	86.33103087500785	64.67729395627975	285.66510140895844	-1.6182770729064941	-1.3530187606811523
16	92.11010495800292	67.396528840065	288.95255267620087	-1.578127384185791	-1.3378441333770752
17	97.81705745798536	65.3467926979065	289.89126884937286	-1.4421148300170898	-1.2618746757507324
18	103.52545970800566	63.332044541835785	278.91095983982086	-1.36330246925354	-1.2119619846343994
19	109.19866995798657	65.11447286605835	278.2750720381737	-1.4293794631958008	-1.1356234550476074
20	115.18011108299834	70.73105853796005	273.56208193302155	-1.4003453254699707	-1.1847963333129883
21	121.12829037499614	63.3371467590332	272.8917922973633	-1.2396385669708252	-1.0159375667572021
22	126.85846295798547	61.217914059758186	268.77842950820923	-1.1559786796569824	-0.9837332963943481
23	132.5268182499858	61.52711635828018	273.83737444877625	-1.3358454704284668	-1.156602144241333
24	138.17377437499817	60.55286741256714	266.2461784482002	-1.1290996074676514	-0.9387286901473999
25	143.846301957994	59.571689665317535	268.10146301984787	-1.2618639469146729	-1.0199706554412842
26	149.4311915409926	64.92068803310394	268.2720913887024	-1.246399164199829	-1.053558349609375
27	155.17768270798842	59.7893670797348	266.4927121400833	-1.0225422382354736	-0.8753064870834351
28	160.9137059999921	59.93844246864319	265.0538173317909	-1.069092035293579	-0.8672488927841187
29	166.64659550000215	61.04854065179825	260.677426636219	-1.0363056659698486	-0.8819197416305542
30	172.41259391600033	59.6228301525116	256.7855239510536	-0.945807695388794	-0.8143810033798218
31	178.58323649998056	58.227735102176666	256.61799293756485	-0.9989488124847412	-0.834547758102417
32	185.07837741600815	60.32821500301361	261.08352613449097	-0.9692285060882568	-0.8162761926651001
33	191.35033579097944	60.47050076723099	254.7771246433258	-0.9319685697555542	-0.8060027360916138
34	197.34533779099002	56.70746825635433	252.14381211996078	-0.9739384651184082	-0.823205828666687
35	203.48567795800045	57.92400395870209	254.70399248600006	-0.9233506917953491	-0.7799569368362427
36	209.72139175000484	58.445705115795135	250.62981474399567	-0.9375227689743042	-0.8039742708206177
37	216.10748833298567	57.83061069995165	248.7530135512352	-0.9786157608032227	-0.8144060373306274
38	223.70475016598357	57.78709068894386	248.75976824760437	-0.76826012134552	-0.5828772783279419
39	232.17542716598837	57.98398703336716	247.02190446853638	-0.8016502857208252	-0.6640276908874512
40	241.813353540987	57.72337204217911	249.29647821187973	-0.8414671421051025	-0.673497200012207
41	250.62581508298172	56.176999390125275	248.13735675811768	-0.6626158952713013	-0.5438205003738403
42	260.9845960410021	55.577784448862076	246.74472308158875	-0.9897313117980957	-0.8651843070983887
43	271.696531708003	59.30449020862579	247.9436638355255	-0.7950383424758911	-0.6449100971221924
44	281.37736700000823	55.90964998304844	242.77173441648483	-0.711990475654602	-0.5645573139190674
45	290.5731691659894	55.84194469451904	242.40097784996033	-0.7568882703781128	-0.6552059650421143
46	299.19298691599397	56.61518853902817	240.55608838796616	-0.8043069839477539	-0.6463090181350708
47	307.0850202080037	57.831715166568756	242.34348022937775	-0.7194446325302124	-0.5925836563110352
48	314.2889475830016	53.85119986534119	239.49394339323044	-0.6867761611938477	-0.50065016746521
49	321.6826894999831	54.44609332084656	238.32306790351868	-0.803990364074707	-0.6723395586013794
50	329.3675536660012	54.15408802032471	235.4239661693573	-0.6351510286331177	-0.5029778480529785
51	336.48283458300284	53.799547135829926	234.83875542879105	-0.5874457359313965	-0.44866371154785156
52	343.57204712499515	54.8631437420845	235.1240033507347	-0.6035951375961304	-0.4651501178741455
53	350.562716290995	52.83941626548767	234.09547317028046	-0.5452769994735718	-0.4277803897857666
54	357.93343720800476	55.764182329177856	235.5042707324028	-0.6616737842559814	-0.5024194717407227
55	365.19433749999735	56.36864364147186	229.48227053880692	-0.548511266708374	-0.4069242477416992
56	371.95042445798754	54.13412648439407	228.25908541679382	-0.5755748748779297	-0.43201422691345215
57	378.7474401250074	51.45692002773285	230.9550752043724	-0.49869561195373535	-0.3770430088043213
58	386.3982851250039	55.728714406490326	228.50408136844635	-0.43646907806396484	-0.32530272006988525
59	394.2730977500032	54.70009356737137	233.58043205738068	-0.5173937082290649	-0.3884345293045044
60	401.8030569999828	51.0900901556015	227.05943036079407	-0.5375597476959229	-0.42021918296813965
61	408.940473708004	53.30136156082153	227.28034979104996	-0.5708372592926025	-0.45041847229003906
62	417.69492300000275	52.22502374649048	228.0008447766304	-0.4988236427307129	-0.3737332820892334
63	425.81180270799086	50.87435019016266	223.42822986841202	-0.5742430686950684	-0.456868052482605
64	434.2049057499971	51.656877875328064	225.58511817455292	-0.44345343112945557	-0.34514176845550537
65	443.01154216600116	49.96178102493286	222.16455778479576	-0.4556725025177002	-0.312353253364563
66	452.84367445798125	51.89407455921173	226.97826957702637	-0.6768875122070312	-0.562454342842102
67	460.85471387498546	49.40344087779522	220.25645792484283	-0.44106197357177734	-0.3119093179702759
68	469.3803910409915	49.4146271944046	218.57790392637253	-0.3739485740661621	-0.2510107755661011
69	478.0197679999983	49.63854983448982	222.72991383075714	-0.44233930110931396	-0.27143168449401855
70	487.1667542909854	49.101394444704056	216.62730419635773	-0.37317001819610596	-0.23229074478149414
71	495.6983672500064	50.7819766998291	220.4461116194725	-0.47776758670806885	-0.3180133104324341
72	504.95306570798857	49.79668211936951	218.22879004478455	-0.4440385103225708	-0.2892136573791504
73	513.3222704579821	47.98020601272583	215.7044060230255	-0.6102547645568848	-0.49567389488220215
74	521.2546335409861	53.5938603579998	214.04807835817337	-0.44846558570861816	-0.3216817378997803
75	529.5817731249845	48.201389133930206	216.44872146844864	-0.3136838674545288	-0.2008882761001587
76	538.4432082079875	47.525563418865204	216.27837657928467	-0.35149431228637695	-0.23762881755828857
77	547.8087286659866	47.303181409835815	215.80692261457443	-0.28070592880249023	-0.16585004329681396
