Epoch	Time(sec)	Loss_dev	Loss_train	R2_dev	R2_train
1	7.993793708010344	701.8665046691895	1609.2500505447388	-0.8778530359268188	-0.8440829515457153
2	15.753544458013494	155.61098980903625	532.4770494699478	-2.2674076557159424	-2.436258554458618
3	23.790214292006567	104.90172100067139	395.02733409404755	-3.6660842895507812	-3.702972412109375
4	33.18864829200902	83.12944555282593	354.7963716983795	-3.9794082641601562	-3.905959129333496
5	45.284478957997635	77.7483441233635	335.46977496147156	-3.564520835876465	-3.3969616889953613
6	58.76748637499986	77.91491460800171	324.7156356573105	-2.5875837802886963	-2.2977817058563232
7	72.62169579201145	74.97592234611511	316.0263965725899	-2.811337471008301	-2.484842538833618
8	84.72816925001098	73.000697016716	305.02345538139343	-2.2856569290161133	-1.9417946338653564
9	95.78609999999753	70.30763947963715	302.4370938539505	-2.307161569595337	-2.031909465789795
10	105.98172637500102	68.51320374011993	297.641765832901	-1.837470531463623	-1.5102696418762207
11	115.83830595802283	67.07512165606022	287.5350453853607	-1.7626056671142578	-1.513709545135498
12	126.6663155000133	65.37479931116104	290.468662917614	-1.837310791015625	-1.604553461074829
13	136.51889866701094	63.399994030594826	288.8315914273262	-1.9056494235992432	-1.7529137134552002
14	147.0606326670095	67.07901644706726	277.9247995018959	-1.468895435333252	-1.297816276550293
15	157.05075408300036	62.590134143829346	272.41187769174576	-1.3089139461517334	-1.0545177459716797
16	167.91084875000524	64.10386145114899	274.9661796092987	-1.2637755870819092	-1.0471203327178955
17	177.73467433301266	61.954867124557495	272.223497569561	-1.0461483001708984	-0.8907904624938965
18	188.1073998750071	61.14715999364853	267.1409590244293	-1.0600230693817139	-0.9554017782211304
19	197.69222570801503	62.42903107404709	264.4398626089096	-0.9646271467208862	-0.8027812242507935
20	207.41125229201862	66.13638257980347	262.9253126382828	-1.0424199104309082	-0.8507778644561768
21	217.43391449999763	61.10105550289154	261.6613664031029	-0.91925048828125	-0.7375826835632324
22	227.1707860000024	58.43356618285179	255.83424699306488	-0.7982968091964722	-0.6584346294403076
23	236.88769100001082	59.23516437411308	260.62083572149277	-0.9238744974136353	-0.7708832025527954
24	246.40194287500344	57.816043347120285	253.49480164051056	-0.9413876533508301	-0.778740644454956
25	256.18601087501156	57.24215763807297	253.40382158756256	-0.9209539890289307	-0.7351502180099487
26	265.80112170800567	61.0297914147377	261.7649477124214	-1.010288953781128	-0.8340953588485718
